Gender,Age Range,"How did you hear about our BETA Savings account? Advert, Beta Friends, Friends, Family, Others",Do you know your BETA friend,Do you know about our Target Savings account?,How satisfied are you with your BETA account?,Do your requests get treated in a timely manner?,Please rate your experience with your BETA Friend,How do you resolve your complaints?,Will you be interested in loan offerings from us?,Did you know you can use our USSD services on *614*045# to check your balance and buy airtime?,Please tell us how best we can serve you
Female,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,The bank should improve in the areas of their networks whenever i want to withdraw 
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Easy transfer
Female,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Network 
Male,45-59,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Network 
Male,45-59,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Network 
Female,45-59,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,By providing the loan option.
Male,45-59,BETA Friends,Yes,Yes,Very Satisfied,Yes,Very good,Talk to a BETA friend,No,No,"The thing is that, the network is very poor. Just work on it and make it transferable from this account to another bank account."
Male,25-34,BETA Friends,No,No,Dissatisfied,No,Very good,Talk to a BETA friend,Yes,Yes,By providing better and excellent network and allow outward transfer
Female,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Make your network very active all the time
Female,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,No,Yes,Interest everymonth
Male,45-59,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,No,Yes,Beta app
Male,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,No,Yes,Monthly interest
Male,45-59,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Monthly interest
Male,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Plenty interest 
Male,45-59,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Interest and app
Male,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,No,Yes,Interest and network 
Male,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,No,Yes,App
Male,45-59,BETA Friends,Yes,Yes,Very Satisfied,Yes,Very good,Visit a Branch,Yes,Yes,If the bank will work on the transfer.From beta to other bank.it will be ok
Male,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,Highest interest on my beta acct
Male,45-59,BETA Friends,Yes,Yes,Very Satisfied,Yes,Very good,Visit a Branch,No,Yes,The bank should improve in their Network
Male,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,Interest 
Male,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Very good,Visit a Branch,Yes,Yes,The bank should please work on their Network
Male,18-24,BETA Friends,Yes,Yes,Very Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,Bank should work on their transfer
Male,45-59,BETA Friends,Yes,Yes,Very Satisfied,Yes,Very good,Talk to a BETA friend,No,Yes,Bank should work on transfer from beta to other bank
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Very good,Visit a Branch,Yes,Yes,Transfer from beta to other account
Male,25-34,BETA Friends,Yes,Yes,Very Dissatisfied,No,Very good,Talk to a BETA friend,No,Yes,Give access to our money
Male,35-44,BETA Friends,Yes,Yes,Neutral,No,Very good,Talk to a BETA friend,No,Yes,Allow transfer from beta account 
Male,45-59,BETA Friends,Yes,Yes,Neutral,No,Good,Talk to a BETA friend,Yes,Yes,Poor network
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,No,Excellent,Visit a Branch,No,No,Allow us to transfer out of beta and enhance network
Male,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Improve on ur network 
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Increasement limit on withdrawal or transfer above 500k
Male,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Good,Talk to a BETA friend,No,Yes,Upgrade the limit on withdrawal 
Male,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Increase withdrawal amount 
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Very good,Talk to a BETA friend,No,Yes,Improvement on alert 
Male,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,I need interest on my beta account 
Male,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Improvement on network 
Male,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Very good,Talk to a BETA friend,No,Yes,Poor network 
Male,45-59,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,No,Yes,interest 
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Very good,Talk to a BETA friend,No,Yes,On interest
Female,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,No,Yes,Interest 
Male,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Good,Talk to a BETA friend,No,Yes,Increase limit on withdrawal 
Male,45-59,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,No,Yes,We need interest 
Male,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Good,Talk to a BETA friend,No,Yes,Network 
Male,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,No,Yes,Increase limit on withdrawal 
Female,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Visit a Branch,Yes,Yes,Please make transfer available on beta account 
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Improve in your network 
Male,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Loan
Female,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Loan
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Best 
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Improve on dispence error treatment 
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Just More effort in treating us
Female,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Best 
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Should be doing transfer 
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,You people are trying the best 
Female,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Should be making transfer 
Male,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Is not making transfer 
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Should be making transfer 
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,I want it should be making transfer 
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Best 
Male,45-59,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Best 
Female,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Good 
Female,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Good 
Female,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Good 
Female,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,No transfer 
Female,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Good 
Male,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,I don't have any problem with the account 
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,I will like you to improve the internet standard of your Bank 
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Good 
Female,25-34,Friends,Yes,Yes,Dissatisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,If we can advise customer care and tellers to handle them with care and love and encouraging then on this account.lets have our own app and allow Pos to stop seeing them as invalid account.
Female,25-34,Friends,Yes,Yes,Dissatisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,If we can advise customer care and tellers to handle them with care and love and encouraging then on this account.lets have our own app and allow Pos to stop seeing them as invalid account.
Female,45-59,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,No,Loan
Male,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Loan
Male,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Network upgrade 
Male,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Loan for business 
Male,45-59,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Loan
Male,45-59,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,GIFT FOR CUSTOMER 
Male,45-59,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Loan 
Female,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Loan
Female,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Network 
Female,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Loan
Female,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Loan
Female,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Loan
Female,60 & above,BETA Friends,Yes,No,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Quick response during withdrawal.
Male,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Loan
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Visit a Branch,Yes,Yes,Improve BETA network 
Female,60 & above,BETA Friends,Yes,No,Very Satisfied,No,Excellent,Visit a Branch,No,Yes,No comment
Female,35-44,BETA Friends,Yes,No,Very Satisfied,Yes,Very good,Visit a Branch,No,Yes,No comment
Female,35-44,BETA Friends,Yes,No,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,No,I'm fine with the account
Male,45-59,Advert,Yes,No,Satisfied,Yes,Very good,Visit a Branch,Yes,Yes,No comment
Female,45-59,BETA Friends,Yes,Yes,Very Satisfied,No,Excellent,Talk to a BETA friend,Yes,Yes,Loan provision
Female,25-34,BETA Friends,Yes,Yes,Very Satisfied,No,Excellent,Talk to a BETA friend,Yes,Yes,If you can enable us to transfer in and out of the beta account I think this will serve us beta though we have transferring money into the account but we need to transfer out also . 
Female,35-44,BETA Friends,Yes,Yes,Neutral,Yes,Good,Talk to a BETA friend,Yes,Yes,Mobile app activation on beta
Male,45-59,BETA Friends,Yes,Yes,Satisfied,Yes,Good,Talk to a BETA friend,Yes,Yes,Access to loan
Male,35-44,BETA Friends,Yes,Yes,Satisfied,No,Good,Talk to a BETA friend,Yes,Yes,To improve on the network
Male,35-44,BETA Friends,Yes,Yes,Neutral,Yes,Excellent,Talk to a BETA friend,No,Yes,Empowerment in my business 
Female,35-44,BETA Friends,Yes,Yes,Neutral,No,Very good,Talk to a BETA friend,Yes,Yes,Use of beta ATM card for transfer
Male,18-24,BETA Friends,Yes,Yes,Satisfied,Yes,Good,Talk to a BETA friend,Yes,Yes,NA
Female,45-59,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,Give me loan with low interest 
Male,45-59,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,NA
Male,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Good,Talk to a BETA friend,No,Yes,Enable Transfer
Female,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,No response 
Female,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Good,Talk to a BETA friend,Yes,Yes,NA
Male,35-44,BETA Friends,Yes,Yes,Neutral,Yes,Good,Talk to a BETA friend,Yes,Yes,Instant alert and transfer
Male,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,No,Yes,Mobile app and Transfer activation from beta
Male,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,"Activation of Transfer on beta account, i.e transfer from beta"
Male,45-59,BETA Friends,Yes,Yes,Very Satisfied,Yes,Good,Talk to a BETA friend,Yes,Yes,Mobile app activation
Female,35-44,BETA Friends,Yes,Yes,Dissatisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Service out side domicile branch is always difficult for me
Male,45-59,BETA Friends,Yes,Yes,Neutral,Yes,Good,Talk to a BETA friend,No,Yes,NA
Male,25-34,BETA Friends,Yes,Yes,Neutral,Yes,Good,Talk to a BETA friend,No,Yes,Mobile app
Male,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,Mobile app activation
Male,25-34,BETA Friends,Yes,Yes,Neutral,Yes,Good,Talk to a BETA friend,Yes,Yes,Mobile transfer
Male,45-59,BETA Friends,Yes,Yes,Neutral,Yes,Good,Talk to a BETA friend,No,Yes,Mobile app activation
Male,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Good,Talk to a BETA friend,Yes,Yes,App activation
Male,18-24,BETA Friends,Yes,Yes,Neutral,Yes,Very good,Talk to a BETA friend,Yes,Yes,Access to loan
Female,45-59,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,No,Yes,Gift
Male,45-59,BETA Friends,Yes,Yes,Satisfied,Yes,Good,Talk to a BETA friend,No,Yes,Network issues should retify
Male,45-59,Friends,Yes,No,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,Nil
Male,35-44,BETA Friends,Yes,Yes,Neutral,Yes,Excellent,Talk to a BETA friend,No,Yes,"Ussd to be changed to *901#
Interest in beta account
It should be accessible
The banks should treat the beta agent well"
Female,60 & above,Family,Yes,No,Very Satisfied,Yes,Very good,Talk to a BETA friend,No,No,The account should be link to other account on the access mobile app 
Male,45-59,BETA Friends,Yes,No,Very Satisfied,Yes,Good,Talk to a BETA friend,No,No,Nil 
Male,45-59,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,"Account should be link with personal account
Access to loan 
"
Female,35-44,BETA Friends,Yes,No,Neutral,Yes,Good,Talk to a BETA friend,No,No,Nil 
Female,45-59,BETA Friends,Yes,No,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,"More staff should be created for withdrawal
Network issues during withdrawal
Gifts "
Female,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Good,Talk to a BETA friend,Yes,Yes,"Loan , customer should be entitled to loan"
Male,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,Nil
Female,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,No,Yes,Nil
Female,18-24,BETA Friends,Yes,Yes,Very Satisfied,Yes,Very good,Talk to a BETA friend,No,Yes,Nil
Male,45-59,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Network upgrade and make transfer available 
Male,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,"By making the network service good, so that i can get my alert immediately the money is posted "
Male,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,BETA ATM SERVICES SHOULD BE MADE AVAILABLE 
Male,45-59,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Loan
Female,45-59,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Network 
Male,45-59,BETA Friends,Yes,Yes,Very Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,Satisfied 
Female,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Access to transfer from Beta account 
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Am ok 
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Access to transfer 
Male,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,Appreciate us by gifting us during festival 
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,Customers yearly appreciation 
Male,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Loan 
Male,35-44,BETA Friends,No,Yes,Dissatisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Increase the interest rate on the target savers and on beta acct.
Male,45-59,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,I want to be transferring from beta account to other bank
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,To have an app for transferring from beta acct to other acct
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,I need transfer to another bank
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,By giving loan
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,By giving us loan
Male,45-59,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,No,I need loan
Male,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,I want loan
Female,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,No,I need loan and transfer
Female,45-59,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,No,I need loan
Female,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,No,No,I need app to transfer to other bank
Male,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,I need to transfer to other bank
Male,45-59,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Nmachukwu
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Nmachukwu
Female,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,I need loan
Male,45-59,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,No,No,Nmachukwu
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,I need to be transferring to other bank
Male,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Is okay
Female,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,No,No,I need to b transferring
Male,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Network should be stable
Male,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,On network
Male,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,On network
Male,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Network
Male,45-59,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,To transfer to other bank
Male,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Network
Female,45-59,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,I need loan
Male,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,All I want is for you guys to enable beta to be able to do transfer from beta to other accounts here.
Female,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Send my total balance in d target always 
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,Improve on network and easy payment via pos
Male,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Network is not stable
Female,35-44,BETA Friends,Yes,Yes,Very Satisfied,No,Excellent,Talk to a BETA friend,No,Yes,Please work on ur transfer 
Male,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,"Charges on Beta, it not supposed to is a daily contribution"
Male,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Network is not stable
Male,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Network should be stable
Male,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,"My problem is network, it should be stable"
Male,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Help me with loan
Female,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Is good
Male,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Network should be stable
Female,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,I need loan
Female,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Please i need loan 
Male,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Please i need loan 
Male,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Very good,Visit a Branch,Yes,Yes,It will be nice if  beta account will be doing transfer from beta to other bank
Male,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Very good,Visit a Branch,No,Yes,We will need transfer on beta to other bank
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Very good,Visit a Branch,No,Yes,Ur re serving us help
Male,35-44,BETA Friends,Yes,Yes,Very Dissatisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Please make beta account to be doing From beta to other bank.
Male,45-59,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Am Okay
Male,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Am satsify
Male,18-24,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Visit a Branch,No,Yes,Make beta transfer possible from beta to other banks.
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Visit a Branch,No,No,Very much satisfied
Male,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Visit a Branch,No,Yes,Will need transfer from beta to other banks
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Very good,Visit a Branch,No,Yes,Access Bank is serving me help
Male,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,No,Please let there be putting in interest in beta savings account.
Male,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Visit a Branch,No,Yes,We need transfer from beta to other banks
Female,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Ok
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Please increase these beta savings account to be stable.
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,See the resolvement of this network issuese
Male,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Please let beta account savings network be resolved.
Male,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Visit a Branch,No,Yes,Am okay
Male,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,No,Please resolve beta network
Male,18-24,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Visit a Branch,No,Yes,Happiness
Male,18-24,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Please bust the beta network.
Male,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Increase the beta network
Female,25-34,Friends,Yes,Yes,Dissatisfied,Yes,Good,Talk to a BETA friend,Yes,Yes,"Even if i say it, your bank will not attend to it"
Male,18-24,BETA Friends,Yes,Yes,Neutral,Yes,Good,Talk to a BETA friend,No,Yes,I want beta account to receive transfer from anoder bank 
Female,18-24,BETA Friends,Yes,Yes,Satisfied,Yes,Good,Visit a Branch,Yes,Yes,I want to access my beta account through Mobil app
Female,35-44,BETA Friends,Yes,Yes,Satisfied,No,Excellent,Visit a Branch,No,Yes,"Network should be properly fix so that when I come to withdraw money I will not hear the issue of no nextwork ,I can't withdraw money."
Female,35-44,BETA Friends,Yes,Yes,Dissatisfied,No,Very good,Visit a Branch,No,Yes,I went to the bank to change my phone number on my account but to my subprice the phone number did not change so I went back to the bank again so please work on it
Male,45-59,BETA Friends,Yes,Yes,Very Satisfied,No,Excellent,Talk to a BETA friend,Yes,Yes,Please put ur nextwork in order
Female,35-44,BETA Friends,Yes,No,Satisfied,No,Very good,Talk to a BETA friend,Yes,Yes,We need transfer from other account to beta .
Female,18-24,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,I want to be using my beta Atm in any bank atm
Female,35-44,BETA Friends,Yes,Yes,Very Satisfied,No,Excellent,Talk to a BETA friend,No,Yes,Please transfer should work
Male,45-59,BETA Friends,Yes,Yes,Satisfied,No,Very good,Visit a Branch,Yes,Yes,Please give us loan to pay back
